id	category	name
1	catchy	Catchy_Melody_2-1
2	catchy	Catchy_Melody_3-1
3	catchy	Catchy_Melody_6-1
4	catchy	Catchy_Melody_8-1
5	catchy	Catchy_Melody_9-1
6	catchy	Catchy_Melody_10-1
7	catchy	Catchy_Melody_11-1
8	dark	Dark_Melody_1-1
9	dark	Dark_Melody_2-1
10	dark	Dark_Melody_3-1
11	dark	Dark_Melody_4-1
12	dark	Dark_Melody_5-1
13	dark	Dark_Melody_6-1
14	dark	Dark_Melody_7-1
15	dark	Dark_Melody_15-1
16	dark	Dark_Melody_16-1
17	dark	Dark_Melody_17-1
18	dark	Dark_Melody_18-1
19	dark	Dark_Melody_19-1
20	dark	Dark_Melody_20-1
21	edm	EDM_Melody_1-1
22	edm	EDM_Melody_2-1
23	edm	EDM_Melody_5-1
24	edm	EDM_Melody_6-1
25	edm	EDM_Melody_8-1
26	edm	EDM_Melody_9-1
27	edm	EDM_Melody_11-1
28	emotional	Emotional_Melody_2-1
29	emotional	Emotional_Melody_3-1
30	emotional	Emotional_Melody_4-1
31	emotional	Emotional_Melody_5-1
32	emotional	Emotional_Melody_6-1
33	emotional	Emotional_Melody_7-1
34	emotional	Emotional_Melody_8-1
35	emotional	Emotional_Melody_9-1
36	emotional	Emotional_Melody_10-1
37	emotional	Emotional_Melody_11-1
38	emotional	Emotional_Melody_12-1
39	emotional	Emotional_Melody_13-1
40	emotional	Emotional_Melody_14-1
41	emotional	Emotional_Melody_16-1
42	emotional	Emotional_Melody_17-1
43	pop	Pop_Melody_4-1
44	pop	Pop_Melody_5-1
45	pop	Pop_Melody_6-1
46	pop	Pop_Melody_7-1
47	pop	Pop_Melody_8-1
48	pop	Pop_Melody_11-1
